"Begriff","Definition"
"Lern­förderlichkeit","Die Eigenschaft eines Dialogs die Benutzer beim Erlernen der Nutzung des interaktiven Systems zu unterstützen und anzuleiten.
Anmerkungen:
1.	Empfehlungen zur Befolgung des Dialogprinzips:
a.	Der Dialog sollte ausreichende Rückmeldung über Zwischen- und Endergebnisse von Handlungen bereitstellen, damit die Benutzer von erfolgreich ausgeführten Handlungen lernen.
b.	Falls es zu den Aufgaben und den Lernzielen passt, sollte das interaktive System dem Benutzer erlauben, Dialogschritte ohne nachteilige Auswirkungen auszuprobieren.
2.	Lernförderlichkeit ist ein Dialogprinzip.
Beispiel für Lernförderlichkeit:
1.	Wenn Benutzer mit Hilfe eines Hotelzimmerreservierungssystems ein Zimmer reservieren, erhalten die Benutzer Schritt für Schritt Rückmeldungen, um ihre Anfrage zu verfeinern und immer mehr Details über den Fortschritt der erfolgreichen Zimmerreservierung."
"Low-fidelity-Prototyp","Eine einfache und preiswerte Veranschaulichung eines Designs oder eines Begriffs. Wird benutzt, um Benutzer-Feedback in frühen Phasen der Entwicklung einzuholen
Anmerkungen: 
1.	Ein low-fidelity-Prototyp wird häufig mit Hilfe von Papier, Stiften, Haftzetteln usw. erstellt. 
2.	Ein low-fidelity-Prototyp wird üblicherweise von einem Menschen und nicht durch einen Computer betrieben.
3.	Ein low-fidelity-Prototyp sollte so hinterlegt sein, dass er unmittelbar modifiziert werden kann.
4.	Vergleiche mit high-fidelity-Prototyp."
"Markt­anforderung","Eine Anforderung an ein interaktives System, die aus der Absatzpolitik des Anbieters abgeleitet ist und darauf abzielt, Geschäftschancen, Verkäufe und die Nutzung des interaktiven Systems zu maximieren.
Anmerkungen:
1.	Häufig werden Marktanforderungen Kundenanforderungen genannt.
Beispiel für Marktanforderung: 
1.	„Die Webseite muss mindestens so benutzbar sein wie jene der zwei stärksten Wettbewerber.“"
"Meister-Schüler-Modell","Ein Verhaltensprinzip für ein erfolgreiches Interview:  Der Interviewer behandelt den Benutzer als den Meister während der Interviewer selbst der Schüler ist. Der Interviewer demonstriert nicht sein Wissen, sondern stellt seine Fragen mit dem Ziel etwas zu lernen."
"Mensch­zentrierte Gestaltung","Herangehensweise bei der Gestaltung und Entwicklung von interaktiven Systemen, die darauf abzielt, diese gebrauchtauglicher zu machen indem sie sich auf die Verwendung des interaktiven Systems konzentriert und Kenntnisse und Techniken aus den Bereichen der Arbeitswissenschaft, Ergonomie und der Gebrauchstauglichkeit anwendet.
Anmerkungen:
1.	Der Begriff “menschzentrierte Gestaltung” wird statt “benutzerzentrierter Gestaltung” verwendet, um auch die Erfordernisse weiterer Interessenvertreter einzuschliessen, die nicht unbedingt Benutzer sind.
2.	Feedback von Benutzern aus Usability Evaluierungen ist eine wichtige Informationsquelle in der menschzentrierten Gestaltung."
"Mentales Modell","Die Vorstellung, die Menschen von sich, anderen, der Umgebung und den Dingen haben, mit denen sie interagieren. 
Anmerkungen: 
1.	Alternative, populäre Definition: Der Denkprozess einer Person darüber, wie etwas in der realen Welt funktioniert.
2.	Menschen generieren mentale Modelle aufgrund von Erfahrung, Training und Instruktion. Das mentale Modell bezüglich eines interaktiven Systems wird größtenteils durch die Interpretation von wahrgenommenen Aktionen und sichtbaren Strukturen gebildet. Die Erwartung durch die Benutzung anderer oder ähnlicher Systeme spielt auch eine Rolle.
3.	Wenn ein mentales Modell eines Benutzers von einem interaktiven System unvollständig oder widersprüchlich ist, dann kann der Benutzer das interaktive System nicht hindernisfrei benutzen."
"Moderation","Die durch einen Moderator während eines Usability-Tests oder einer Fokusgruppe ausgeübte Tätigkeit."
"Moderator","Eine neutrale Person die eine Usability-Testsitzung oder eine Fokusgruppe leitet.
Anmerkungen: 
1.	Moderator ist eine Rolle in einer Usability-Testsitzung oder in einer Fokusgruppensitzung.
2.	Die typischen Aufgaben des Moderators während einer Usability-Testsitzung sind beim Begriff Usability-Testsitzung beschrieben.
3.	Auf Englisch wird Facilitator oft als Synonym für Moderator verwendet."
"Nach­besprechung","Siehe Post-Session Interview."
"Navigations­struktur","Die logische Organisation der angezeigten Informationseinheiten der Benutzungsschnittstelle.
Anmerkungen:
1.	In der Praxis sind die „angezeigten Informationseinheiten“ oft Bildschirminhalte, Seiten oder Fenster.
2.	Die Navigationsstruktur umfasst: 
a.	Die logische Struktur, zum Beispiel Hierarchie, Anordnung sowie Gruppierung von Bestandteilen des User Interfaces bzw. Navigationsitems.
b.	Die Navigationsmittel zum Navigieren in der Struktur, zum Beispiel Menü und Brotkrumen
3.	Die Navigationsstruktur ist ein Teil der Informationsarchitektur. Verantwortlich ist der Informationsarchitekt – er kann das aber nicht ohne den Interaktionsdesigner festlegen."
"Neutrale Frage","Eine Frage in einem Interview, die keine impliziten Annahmen beinhaltet und auch keinen Ansatz bietet, einen Aspekt auszuschliessen oder die Antwort in eine bestimmte Richtung zu lenken. 
Anmerkung:
1.	Vergleiche mit Suggestivfrage.
Beispiele für neutrale (und offene) Interviewfragen
1.	Was ist passiert?
2.	Was meinen Sie damit?
3.	Welche Möglichkeiten haben Sie jetzt?
4.	Wie sollte die Homepage der neuen Autovermietungswebsite aussehen?"
"Nutzungs­anforderung","Anforderung an die Nutzung, die die Basis für die Gestaltung und Evaluierung eines interaktiven Systems in Hinblick auf identifizierte Erfordernisse bildet. 
Anmerkungen:
1.	Nutzungsanforderungen werden von Erfordernissen abgeleitet.
2.	Eine Nutzungsanforderung kann eine qualitative Nutzungsanforderung oder eine quantitative Nutzungsanforderung sein.
3.	„Nutzungsanforderung“ heisst auf Englisch „User requirement“."
"Nutzungs­kontext","Benutzer, Aufgaben, Ressourcen sowie die physische und soziale Umgebung in der das interaktive System genutzt wird.
Anmerkungen:
1.	Die Ergebnisse aus den Beobachtungen und kontextuellen Interviews werden in der ”Nutzungskontextbeschreibung” dokumentiert. Diese ist die Basis für das Identifizieren von Erfordernissen bzw. deren Zurückführbarkeit auf den Nutzungskontext.   
2. Eine Nutzungskontextbeschreibung beschreibt:
a.	Benutzergruppen und Benutzergruppenprofile,
b.	Aufgaben,
c.	Umgebungen,
d.	Ausrüstung,
e.	Szenarien, die illustrieren, was im Nutzungskontext geschieht
Anmerkung zum Training:
1.	Hilfreiche Abkürzung: PACT = 
People (Benutzer), 
Activities (Aufgaben), 
Contexts (Umgebung), 
Technologies (Ressourcen, Ausrüstung der Benutzer)
Beispiele:
1.	Jugendliche verwenden Handys, um ihren Freunden Textmitteilungen zu senden während sie in einem Bus sitzen. 
2.	Sekretärinnen benutzen Microsoft Word, um Dokumente in einer Rechtskanzlei zu schreiben."
"Nutzungsobjekt","Die wichtigsten Informationseinheiten oder Daten mit denen Benutzer interagieren, um ihre Aufgaben durchzuführen.
Anmerkung:
1.	Der englische Ausdruck für Nutzungsobjekt ist Task object.
Beispiele für Nutzungsobjekte:
1.	Für ein Kundenmanagementsystem: 
	- Ein Brief an einen Kunden, 
	- Eine Liste unbezahlter Rechnungen des Kunden, 
	- Eine Auftrag von dem Kunden.
2.	Für einen Automaten der Bahnkarten verkauft:
	- Eine Fahrkarte,
	- Eine Quittung für den Kauf einer Fahrkarte,
	- Einen Reiseplan."
"Nutzungs­problem","Siehe Usability-Problem"
"Nutzungs–szenario","Siehe Szenario"
"Offene Frage","Eine Frage in einem Interview, die keine Einschränkung der Antwortmöglichkeiten nach sich zieht
Anmerkungen: 
1.	Offene Fragen sind in Interviews zu bevorzugen, weil sie Benutzer zur freien Rede animieren und ausführliche  Antworten auf die Frage zulassen. 
2.	Vergleiche mit geschlossener Frage.
Beispiele:
1.	Für Beispiele zu offenen (und neutralen) Interviewfragen siehe Neutrale Fragen."
"Onlinehilfe","Unterstützung die durch ein Computerprogramm bereitgestellt wird. Onlinehilfe kann themenorientiert, verfahrensorientiert oder ein Hinweis sein.
Anmerkungen:
1.	Onlinehilfe kann auch Informationen zu weitergehenden Themenbereichen bieten.
2.	Onlinehilfe ist eine Form der Benutzerunterstützung."
"Organisato­rische Anforderung","Eine organisatorische Regel die Benutzer befolgen müssen während sie ihre Aufgaben lösen.
Anmerkung:
1.	Organisatorische Anforderungen sind Anforderungen an die Benutzer die zu Anforderungen an das interaktive System führen.
Beispiele: 
1.	Ein Verkäufer muss Angebote über 100.000 Euro vom Geschäftsführer unterschreiben lassen.
2.	Eine exakte Beschreibung der Art und Weise wie ein Benutzer eine Bestellung ausführen muss."
"Persona","Eine Beschreibung eines Benutzers und was dieser bei der Benutzung eines interaktiven Systems beabsichtigt. 
Anmerkung:
1.	Personas sind nicht Beschreibungen existierender Personen, sondern repräsentieren erfundene Beispiele eines realen Benutzers auf der Basis empirisch ermittelter Daten, zum Beispiel von Beobachtungen oder Interviews.
2.	Personas verfügen typischerweise über einen Namen, Alter, einige Hintergrund­informationen, Ziele und Wünsche. Eine Persona-Beschreibung sollte Informationen über wesentliches Wissen im Themenfeld des interaktiven Systems und die entsprechenden Interessen der Persona im Themenfeld beinhalten. Persona-Beschreibungen enthalten oft, aber nicht immer ein Foto."
"Positiver Usability-Befund","Siehe Usability-Befund"
"Post-Session Interview","Eine Aktivität in einem Usability-Test, bei der ein Usability-Testteilnehmer Fragen bezüglich seines allgemeinen Eindrucks hinsichtlich der Usability des interaktiven Systems beantwortet. 
Anmerkungen:
1.	Das Post-Session Interview findet statt, nachdem der Usability-Testteilnehmer soviele der vorgesehenen Usability-Testaufgaben wie möglich in der vorgegebenen Zeit erledigt hat. 
2.	Wird auch als Debriefing oder Nachbesprechung bezeichnet."
"Pre-Session Interview","Eine Tätigkeit bei einem Usability-Test, bei der Usability-Testteilnehmer Fragen bezüglich ihres Hintergrundes und vorheriger Erfahrung mit dem interaktiven System oder ähnlichen interaktiven Systemen beantworten. 
Anmerkung:
1.	Das Pre-Session Interview findet nach dem Briefing statt, bevor der Usability-Testteilnehmer beginnt, die Usability-Testaufgaben abzuarbeiten."
"Primärer Benutzer","Eine Person, die mit einem interaktiven System interagiert, um Ziele zu erreichen, die durch das System unterstützt werden."
"Protokollant","Ein Usabilityspezialist, der Notizen über Usability-Befunde während einer Usability-Testsitzung, Fokusgruppe oder Interview notiert. 
Anmerkungen:
1.	Protokollant ist eine Rolle in einer Usability-Testsitzung, Fokusgruppe oder Interview
2.	Der Einsatz eines Protokollanten erlaubt dem Moderator, sich voll auf den Usability-Testteilnehmer zu konzentrieren."
"Prototyp","Eine Repräsentation von Teilen oder des gesamten interaktiven Systems, die in einem bestimmten Maß für Analyse, Design und Evaluierung benutzt werden kann.
Anmerkung:
1.	Zertifizierungsanwärter müssen auch mit den Begriffen high-fidelity-Prototyp und low-fidelity-Prototyp vertraut sein."
"Qualität","Grad der Erfüllung von Anforderungen durch ein interaktives System.
Anmerkung: 
1.	Beispiele für Qualitätsmerkmale neben Usability sind Korrektheit, Verlässlichkeit und Sicherheit."
"Qualitative Nutzungs­anforderung","Eine Beschreibung, was Benutzer während der Durchführung einer Aufgabe mit dem interaktiven System finden, erkennen, verstehen, auswählen oder eingeben müssen.
Anmerkungen:
1.	Qualitative Nutzungsanforderungen sind die Basis für den effizienten Gebrauch von interaktiven Systemen.
	Im Gegensatz dazu können Quantitative Nutzungsanforderungen Messungen der Effizienz des interaktiven Systems ermöglichen  – d.h. ob ein Benutzer mit Hilfe des interaktiven Systems eine Aufgabe z.B. in einer angemessenen Zeit oder mit einem definierten Maximum an Bedienungsfehlern lösen kann.
2.	Qualitative Nutzungsanforderungen sind keine Funktionen, sondern stellen die Basis für Funktionen dar.
3.	Vergleiche mit Quantitativer Nutzungsanforderung 
Beispiele
1.	Sinnvolle qualitative Nutzungsanforderungen:
a.	„Der Benutzer muss die unterschiedlichen Fahrzeuge, die für einen bestimmten Preisbereich auf der Autovermietungs­webseite verfügbar sind, vergleichen können.“ 
b.	„Der Benutzer muss ein Fahrzeug mit automatischer Übertragung auf der Autovermietungswebseite auswählen können.“
c.	„Der Benutzer muss die Öffnungszeiten einer bestimmten Autovermietungsstelle sehen können.“
2.	Falsch formulierte qualitative Nutzungsanforderungen:
a.	„Die Benutzungsschnittstelle muss gebrauchstauglich sein und alle Benutzeraufgaben unterstützen.“ (zu allgemein)
b.	„Die Benutzungsschnittstelle muss einen großen roten Button „Auto mieten“ haben“ (zu detailliert)"
"Quantitative Nutzungs­anforderung","Benötigtes Maß an Usability um identifizierten Erfordernissen zu genügen im Sinne der Effektivität, Effizienz und Zufriedenstellung in einem festgelegten Nutzungskontext.
Anmerkungen:
1.	Quantitative Nutzungsanforderungen sind Akzeptanzkriterien für die Effektivität, Effizienz und Zufriedenstellung eines interaktiven Systems, z.B. ob Benutzer eine bestimmte Aufgabe in einer angemessenen Zeit oder mit einem festgeschriebenen Maximum an Benutzungsfehlern mit dem System erledigen können.
2.	Vergleiche mit Qualitativer Nutzungsanforderung. Vergleiche insbesondere die Beispiele.
Beispiel: 
1.	„80% der Benutzer, die die Autovermietungs­webseite zumindest zweimal benutzt haben, müssen in der Lage sein, innerhalb von 5 Minuten einen Kleinwagen ab Flughafen Frankfurt (Deutschland) für zwei Tage beginnend ab morgen 09:00 Uhr zu mieten“.
2.	Vergleiche das obige Beispiel mit Beispielen  „qualitativer Nutzungsanforderung“."
"Rekrutierung","Akquise von Benutzern, die die erforderlichen Qualifikationen haben, an einer menschzentrierten Aktivität wie z.B. einem Usability-Test, einem kontextuellen Interview oder einer Fokusgruppe teilzunehmen.
Anmerkung: 
1.	Oft wird ein Rekrutierungsfragebogen eingesetzt, um festzustellen ob Kandidaten über die erforderlichen Qualifikationen zur Teilnahme an der menschzentrierten Aktivität verfügen.
2.	Relevante Qualifikationen beinhalten: Hintergrund, Wissen über das Sachgebiet, Einstellungen und Interessen."
"Rekrutierungs­fragebogen","Eine Reihe von Fragen für potenzielle Teilnehmer hinsichtlich ihrer Qualifikationen zur Teilnahme an einer menschzentrierten Aktivität wie z.B. einem Usability-Test oder einer Fokusgruppe.
Anmerkungen: 
1.	Ein Rekrutierungsfragebogen wird während der Rekrutierung von Teilnehmern benutzt, um festzustellen ob Kandidaten über die erforderlichen Qualifikationen zur Teilnahme an der menschzentrierten Aktivität verfügen.
2.	Relevante Qualifikationen beinhalten: Hintergrund, Wissen über das Sachgebiet, Einstellungen und Interessen.
3.	Der englische Ausdruck für Rekrutierungs­fragebogen ist Screener oder Recruitment Screener."
"Remote Usability-Test","Ein Usability-Test bei dem sich der Usability-Testteilnehmer und der Moderator an unterschiedlichen Orten befinden 
(„Remote“ bedeutet hier „entfernt liegend“). 
Anmerkungen:
1.	Der Moderator beobachtet den Usability-Testteilnehmer über eine Internetverbindung. 
2.	Der Moderator kommuniziert mit dem Usability-Testteilnehmer über Telefon oder Internet.
3.	Vergleiche mit Usability-Test und unbeaufsichtigter Usability-Test."
"Ressourcen","Alle Mittel die zur Nutzung eines interaktiven Systems notwendig sind. 
Anmerkung: 
1.	typische Beispiele von Ressourcen sind Zeit, finanzielle Kosten, physischer und mentaler Aufwand, Hardware, Software und Materialien"
"Richtlinie","Siehe Gestaltungsregel"
"Rolle","Eine Funktion die eine Person innerhalb der Struktur einer Organisation inne hat.
Anmerkungen:
1.	Eine Rolle beschreibt eine Menge von zusammengehörigen Verhaltensweisen, Rechten, Pflichten und Normen in einem beruflichen Kontext.
2.	Rollen werden von Individuen besetzt.
3.	Abhängig von der Komplexität eines Projektes können mehrere Menschen eine Rolle teilen oder mehrere Rollen einer Person zugewiesen werden.
4.	Arbeitsrollen sind „Hüte“, die Menschen aufhaben, wenn sie die entsprechenden Verantwortlichkeiten übernehmen und die damit verbundenen Tätigkeiten ausüben.
Beispiel:
1.	In einer Usability-Testsitzung kann eine Person gleichzeitig die Rolle des Moderators und die des Protokollanten übernehmen. 
	In einer anderen Usability-Testsitzung hingegen, könnte eine Person als Moderator fungieren und zwei andere Personen könnten beide als Protokollant auftreten."
"Sekundärer Benutzer","Eine Person, die mit einem interaktiven System interagiert, um die Nutzung des Systems zu unterstützen oder das System zu warten.
Beispiele für sekundäre Benutzer:
1.	Sicherheitsmanager, Administrator, Trainer und Wartung."
"Selbst­beschreibungs­fähigkeit","Die Eigenschaft eines Dialogs zu jeder Zeit dem Benutzer offensichtlich zu machen, in welchem Dialog, an welcher Stelle im Dialog er sich befindet, welche Handlungen unternommen werden können und wie diese ausgeführt werden können.
Anmerkung:
1.	Affordance und Selbstbeschreibungsfähigkeit sind Mittel, um ein interaktives System intuitive zu gestalten.
2.	Selbstbeschreibungsfähigkeit ist ein Dialogprinzip. "
"Steuerbarkeit","Der Benutzer ist in der Lage einen Dialogablauf zu starten sowie seine Richtung und Geschwindigkeit zu beeinflussen, bis das Ziel erreicht ist.
Anmerkung:
1.	Steuerbarkeit ist ein Dialogprinzip."
"Storyboard","Eine Folge visueller Bildschirminhalte, die das Zusammenspiel zwischen einem Benutzer und einem vorgestellten interaktiven System darstellt. 
Anmerkung:
1.	Ein Storyboard ist oft eine Comic-­artige Darstellung eines Nutzungsszenarios.
2.	Storyboards sind nicht als Prototypen geeignet, da sie eine Geschichte erzählen und keine Interaktion ermöglichen "
"Styleguide","Eine Sammlung von Gestaltungsregeln die verwendet wird, um die grundsätzliche Erscheinung der Benutzungsschnittstelle auf jeglicher Software einer Organisation festzulegen.
Anmerkung:
1.	Styleguides werden manchmal auch als UX Guides bezeichnet.
Beispiele für Styleguides:
1.	Windows User Experience Interaction Guidelines for Windows Desktop apps („UX Guide“)
2.	IOS Human Interface Guidelines"
"Suggestiv­frage","Eine Frage in einem Interview, die eine Präferenz für bestimmte Antwortmöglichkeiten vorgibt oder versucht, die Antwort in eine bestimmte Richtung zu lenken. 
Anmerkung:
1.	Vergleiche mit neutraler Frage.
Beispiel für Suggestivfrage:
1.	„Möchten Sie schöne Farben auf der Homepage der neuen Autovermietungswebsite?“
Entsprechende neutrale Frage: „Wie sollte die Homepage der neuen Autovermietungswebsite aussehen?“ Beachten Sie, dass die neutrale Frage den Begriff „Farbe“ nicht einmal enthält."
"Summative Usability-Evaluierung","Eine Usabilityevaluierung, die darauf ausgerichtet ist, Schlussfolgerungen zur Qualität eines interaktiven Systems aus Sicht der Usability zu ziehen, insbesondere wenn ein wesentlicher Teil der Entwicklung fertig ist.  
Anmerkung: 
1.	Eine summative Evaluierung kann dazu genutzt werden, ein Design gegen Nutzungsanforderungen zu evaluieren, um festzustellen, ob das Design aus der Perspektive der Benutzer akzeptabel ist.
2.	Vergleiche mit Formativer Usability-Evaluierung."
"Systeminitiierte Benutzerführung","Explizite Information über ein Ereignis oder einen Zustand vom interaktiven System an den Benutzer. 
Anmerkungen: 
Systeminitiierte Benutzerführung umfasst:
Meldungen (informativ, warnend, auf Fehler hinweisend)
Statusinformation, z.B. ”7 neue Nachrichten”
Instruktionen, z.B. ”E-Mail-Adressen können mit einem Leerzeichen, einem Komma, einem Semikolon oder einem Zeilenumbruch getrennt werden.”
2.	Meldungen, müssen konstruktiv, präzise, verständlich und sichtbar sein.
3.	Systeminitiierte Benutzerführung ist eine Form der Benutzerunterstützung."
"Szenario","Eine narrative Textbeschreibung des Vorgehens, das ein bestimmter Benutzer anwendet, um eine oder mehrere Aufgaben zu erledigen. 
Anmerkungen: 
1.	Der Benutzer im Szenario kann durch eine Persona repräsentiert werden.
2.	Es gibt zwei Typen von Szenarien: 
a.	Szenarien des Ist-Zustands, die beschreiben, wie Aufgaben bisher erledigt werden. Szenarien des Ist-Zustands beschreiben den gegenwärtigen Nutzungskontext und dienen dazu, Erfordernisse zu erkennen und Nutzungsanforderungen abzuleiten. Siehe Beispiel 1.
b.	Nutzungsszenarien beschreiben, wie Aufgaben mit dem zukünftigen interaktiven System erledigt werden. Nutzungsszenarien dienen als Basis für das Entwickeln erster Low-Fidelity-Prototypen. Siehe Beispiel 2.
3. 	Szenarien werden vom User Requirements Engineer auf Grundlage der Ergebnisse von Beobachtungen und Kontextinterviews erstellt
4. 	Personas und Szenarien werden zusammen entwickelt, da das Analysieren von Benutzern auch eine Analyse ihres Verhaltens involviert und die Analyse ihres Handelns beinhaltet, wer diese Handlungen durchführt.
5. 	Szenarien werden von Benutzern überprüft, um Missverständnisse zu entdecken, die während der Contextual Inquiry aufgetreten sein könnten.
6.	Ein Szenario soll nicht auf spezifische Umsetzungen von  Objekten der Benutzungsschnittstelle referenzieren (z.B. auf einen Button).
7.	Szenarien werden benutzt um Aufgabenmodelle und frühe Prototypen zu erstellen, die die Aufgabe im Szenario unterstützen.
Beispiele für Szenarien:
„John Miller ist Geschäftsreisender der im Laufe einer Woche mehrere Flüge tätigt. Er fährt bevorzugt mit seinem Auto zum Flughafen. Gelegentlich verpasst er ein Flugzeug und bereut dann nicht mit einem Taxi oder mit der Bahn zum Flughafen gefahren zu sein. Er unterschätzt einfach die Fahrzeugschlangen vor an der Einfahrt des Parkhauses und die Laufzeit bis zum Flugsteig.“ Dieses Beispiel bezieht sich auf Anmerkung 2a, den Ist-Zustand.
„Bevor John Miller zum Flughafen fährt, sichtet er mit seiner neuen App immer die Parksituation am Flughafen. Wenn ausreichend Parkplätze vorhanden sind, reserviert er mit seiner neuen App einen Parkplatz und fährt dann entspannt mit seinem Wagen zum Flughafen. Er weiss, dass mit der Veröffentlichung der neuen App am Flughafen ein separater Zugang für Parkhausgäste mit reserviertem Parkplatz geschaffen wurde.“ Dieses Beispiel bezieht sich auf Anmerkung 2b, den zukünftigen Soll-Zustand.
3.	Der folgende Text, der das Beispiel 2 ergänzt, ist zu spezifisch und verstösst gegen Anmerkung 6: 
„John Miller schaut sich den Bildschirm „Überblick über verfügbare Parkplätze“ an und wählt einen Parkplätz mit der Schaltfläche „Auswählen“ aus. Anschliessend klickt er auf die Schaltfläche „Reservieren“ und reserviert diesen Parkplatz.“"
"Szenario des Ist-Zustands","Siehe Szenario"
"Testaufgabe","Siehe Usability-Testaufgabe."
"Testbericht","Siehe Usability-Testbericht."
"Testskript","Siehe Usability-Testskript."
"Testteilnehmer","Siehe Usability-Testteilnehmer"
"Umgebung","Die Gesamtheit der gegebenen Umstände oder Bedingungen, in denen ein Benutzer arbeitet. Diese umfassen die physische, soziale und technische Umgebung.
Anmerkung: 
1.	Die soziale Umgebung schließt die organisatorische Umgebung mit ein."
"Un­beaufsichtigter Usability-Test","Ein Usability-Test bei dem Usability-Testteilnehmer Usability-Testaufgaben lösen ohne dabei beobachtet zu werden. 
Anmerkung: 
1.	Handlungen werden auf Video zur späteren Analyse aufgezeichnet.
2.	Unbeaufsichtigte Usability-Tests werden oft beim Testteilnehmer zuhause, auf dessen Computer durchgeführt. Videoaufnahmen werden mithilfe einer Aufzeichnungssoftware gespeichert die von einem Anbieter für unbeaufsichtigte Usability-Tests auf dem Computer installiert wird.
3.	Vergleiche mit Usability-Test und Remote Usability-Test"
"Usability","Ausmaß, in dem ein interaktives System durch bestimmte Benutzer in einem bestimmten Nutzungskontext genutzt werden kann, um festgelegte Ziele effektiv, effizient und zufriedenstellend zu erreichen.
Anmerkung:
1.	Die Ausdrücke „bestimmte Benutzer“, „festgelegte Ziele“ und „bestimmter Nutzungskontext“ sind in dieser Definition besonders wichtig."
"Usability Engineer","Eine Person die in einer Querschnittsfunktion verantwortlich einen menschzentrierten Gestaltungsprozess betreut. 
Anmerkungen:
1.	Der Usability Engineer (UE) ist kompetent und erfahren in den Prozessschritten, verfügbaren Methoden der menschzentrierten Gestaltung und Gestaltungsregeln für Benutzererlebnis, sodass er die Entwicklungsprojekte unter dem Aspekt menschzentrierter Gestaltung planen und die Qualität der Ausführung von menschzentrierten Gestaltungsbezogenen Aktivitäten sicherstellen kann. Dies beinhaltet 
a.	Menschzentrierte Gestaltungsaktivitäten,
b.	Die Integration der menschzentrierten Gestaltung in den Produktentwicklungs­prozess des Unternehmens, 
c.	Die Definition von Erfolgskriterien für solche Projekte,
d.	Das Training von beteiligten Projektteams. 
2.	Der UE legt angemessene Vorgehensweisen, Werkzeuge und Styleguides für das menschzentrierte Design im Allgemeinen als auch für spezifische Projekte fest. Der UE unterstützt das Management bei der Entscheidung, welche Arbeitspakete von qualifizierten Mitarbeitern im Unternehmen und welche durch kompetente Subunternehmer ausgeführt werden sollten.
3.	Usability Engineer ist eine Rolle im Prozess der menschzentrierten Gestaltung.
"
"Usability Professional","Eine Person die eine oder mehrere der folgenden Rollen hat: 
1.	Usability Engineer, 
2.	User Requirements Engineer, 
3.	Usability-Tester,
4.	Informationsarchitect,
5.	Interaktionsdesigner,
6.	User Interface Designer."
"Usability-Befund","Ergebnis aus einer Usability-Evaluierung. 
Anmerkung:
1.	Mögliche Usability-Befunde sind
a.	Ein Usability-Problem 
b.	Etwas, das die Benutzer mochten, also ein positiver Usability-Befund."
"Usability-Evaluierung","Ein Prozess der Informationen über die Usability eines interaktiven Systems sammelt um das interaktive System zu verbessern (formative Usability-Evaluierung) oder um das interaktive System zu bewerten (summative Usability-Evaluierung). 
Anmerkungen:
1.	Usability-Evaluierung ist ein gemeinsamer Ausdruck für 
a.	Inspektionsbasierte Usability-Evaluierung 
b.	Benutzerzentrierte Usability-Evaluierung.
2.	Das Synonym „Evaluation“ wird auch oft verwendet."
"Usability-Labor","Zwei oder mehrere Räume, die speziell für die Durchführung von Usabiltytests oder Fokusgruppen ausgestattet sind. 
Anmerkung:
1.	Ein Usability-Labor besteht oft aus 
a.	einem Testraum, wo der Usability-Testteilnehmer sitzt,
b.	einem Beobachtungsraum, wo Interessenvertreter die Usability-Testteilnehmer beobachten können, während die Usability-Testteilnehmer Aufgaben lösen. 
	Oft sind diese zwei Räume durch eine Spiegelwand getrennt, was den Beobachtern erlaubt, den Usability-Testteilnehmern zuzuschauen, nicht aber umgekehrt."
"Usability-Problem","Ein Problem in der Benutzung der Benutzungsschnittstelle, das sich auf die Zufriedenstellung des Benutzers sowie die Effektivität und Effizienz des interaktiven Systems auswirkt. 
Anmerkung:
1.	Usability-Probleme können zu Irritationen, Fehlern oder Verzögerungen führen oder sogar die Fertigstellung einer Aufgabe des Benutzers verhindern."
"Usability-Test","Eine Usability-Evaluierung bei der repräsentative Benutzer bestimmte Aufgaben mit dem interaktiven System ausführen, um Usability-Probleme oder die Messwerte für Effektivität, Effizienz und Zufriedenstellung zu erfassen. 
Anmerkungen:
1.	Ein Usability-Test wird von einem Usability-Tester geleitet.
2.	Ein Usability-Test besteht üblicherweise aus 3 Phasen:
a.	Planung, dazu gehören: Schreiben des Usabiliy-Testplans, schreiben des Usability-Testskripts, und Rekrutierung von passenden Usability-Testteilnehmern.
b.	Durchführung der Usability-Testsitzungen wie in Anmerkung 3 beschrieben.
c.	Usability-Testergebnisse kommunizieren, einschließlich Schreiben eines Usability-Testberichts 
3.	Ein Usability-Test umfasst eine Reihe von Usability-Testsitzungen. In jeder Sitzung versucht ein Usability-Testteilnehmer unter Benutzung des interaktiven Systems oder eines Prototypen eines interaktiven Systems repräsentative Usability-Testaufgaben zu lösen. Üblicherweise werden Usability-Testsitzungen von einem Moderator moderiert und von einer Anzahl von Beobachtern, die oft Interessenvertreter sind, beobachtet. Ein Protokollant zeichnet wichtige Usability-Befunde auf.
4.	Der Begriff ”Usability-Test” bezieht sich üblicherweise auf einen Test, bei dem sich der Usability-Testteilnehmer und der Moderator am gleichen physischen Ort befinden. Andere Arten von Usability-Tests sind: Remote Usability-Test und Unbeaufsichtigter Usability-Test.
5.	Das Testen kann qualitative oder quantitative Daten ergeben. 
6.	Das Testen kann zu jedem Zeitpunkt während der menschzentrierten Gestaltung geschehen – von der frühen Analysephase bis hin zur Lieferung des interaktiven Systems und darüberhinaus. Die Tests können sowohl an Papierentwürfen oder anderen low-fidelity-Prototypen als auch an in Entwicklung befindlichen oder bereits fertiggestellten interaktiven Systemen durchgeführt werden.
7.	Rollen bei einem Usability-Test sind:
a.	Moderator
b.	Protokollant
c.	Beobachter
d.	Usability-Testteilnehmer "
